"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1","330uf","Capacitor_SMD:C_Elec_4x5.4","","1","","",""
"C2,C3,C6,C8,C15,C21,C22,C23","0.1u","Capacitor_SMD:C_0805_2012Metric","https://cdn.sparkfun.com/assets/8/a/4/a/5/Kemet_Capacitor_Datasheet.pdf","8","","",""
"C4","470u","Capacitor_SMD:C_Elec_4x5.4","","1","","",""
"C7","1u","Capacitor_SMD:C_0805_2012Metric","https://cdn.sparkfun.com/assets/8/a/4/a/5/Kemet_Capacitor_Datasheet.pdf","1","","",""
"C16","22u","Capacitor_SMD:C_0805_2012Metric","https://cdn.sparkfun.com/assets/8/a/4/a/5/Kemet_Capacitor_Datasheet.pdf","1","","",""
"D1,D2,D3,D4,D5,D6,D7,D8","1N5819","Diode_SMD:D_SMB","http://www.vishay.com/docs/88525/1n5817.pdf","8","","",""
"D9","LED","LED_SMD:LED_0805_2012Metric","~","1","","",""
"D12","SS34","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf","1","","",""
"D14,D15","1N5819","Diode_SMD:D_SMF","http://www.vishay.com/docs/88525/1n5817.pdf","2","","",""
"FB1","FerriteBead","Inductor_SMD:L_0402_1005Metric","~","1","","",""
"H1,H2,H3,H4","MountingHole","MountingHole:MountingHole_2.2mm_M2_DIN965_Pad_TopOnly","~","4","","Exclure de la Liste du Matériel",""
"J1","Conn_01x08_Socket","Connector_PinSocket_1.27mm:PinSocket_1x08_P1.27mm_Vertical_SMD_Pin1Right","~","1","","",""
"J2,J3,J4_battery3","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","~","3","","",""
"L1","33u","Inductor_SMD:L_APV_ANR3010","~","1","","",""
"P1","USB_C_Plug_USB2.0","New_Library:TE_2340901-1","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","1","","",""
"Q1,Q2","BC817","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC818-D.pdf","2","","",""
"Q3","NPN","Package_TO_SOT_SMD:SuperSOT-3","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs","1","","",""
"Q6","NMOS","Package_TO_SOT_SMD:TO-252-2","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs","1","","",""
"R8,R9,R10,R15","10K","Resistor_SMD:R_0805_2012Metric","~","4","","",""
"R11,R14","1","Resistor_SMD:R_0805_2012Metric","~","2","","",""
"R12,R13","5.1K","Resistor_SMD:R_0805_2012Metric","~","2","","",""
"R21","10k","Resistor_SMD:R_0805_2012Metric","~","1","","",""
"R22","4.7k","Resistor_SMD:R_0805_2012Metric","~","1","","",""
"SW1,SW2","1101NE","New_Library:SW_FSM8JH","https://www.sparkfun.com/datasheets/Components/1101.pdf","2","","",""
"U1","ESP32-C3-WROOM-02","RF_Module:ESP32-C3-WROOM-02","https://www.espressif.com/sites/default/files/documentation/esp32-c3-wroom-02_datasheet_en.pdf","1","","",""
"U2","L298P","New_Library:SOIC127P1420X360-20N","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000240.pdf","1","","",""
"U3","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","1","","",""
"U4","CH340C","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://datasheet.lcsc.com/szlcsc/Jiangsu-Qin-Heng-CH340C_C84681.pdf","1","","",""
"U6","LM2596S-3.3","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf","1","","",""
